id,order_id,date,delivery_status
1,1,2017-11-03,PREPARED
2,1,2017-11-05,WITH COURIER
3,2,2017-11-05,PREPARED
4,1,2017-11-07,DELIVERED
5,2,2017-11-07,WITH COURIER
6,3,2017-11-07,PREPARED
7,10,2017-11-07,PREPARED
8,2,2017-11-09,DELIVERED
9,3,2017-11-09,WITH COURIER
10,10,2017-11-09,WITH COURIER
11,3,2017-11-11,DELIVERED
12,10,2017-11-11,DELIVERED
13,7,2017-11-13,PREPARED
14,7,2017-11-15,WITH COURIER
15,7,2017-11-21,DELIVERED
16,9,2017-11-21,PREPARED
17,8,2017-11-23,PREPARED
18,9,2017-11-23,WITH COURIER
19,8,2017-11-25,WITH COURIER
20,9,2017-11-25,DELIVERED
21,8,2017-11-27,DELIVERED
22,11,2017-12-02,PREPARED
23,12,2017-12-04,PREPARED
24,13,2017-12-06,PREPARED
25,14,2017-12-09,PREPARED
26,15,2017-12-10,PREPARED
27,12,2017-12-10,WITH COURIER
28,13,2017-12-11,WITH COURIER
29,16,2017-12-12,PREPARED
30,14,2017-12-12,WITH COURIER
31,12,2017-12-13,DELIVERED
32,17,2017-12-14,PREPARED
33,13,2017-12-14,DELIVERED
34,14,2017-12-15,DELIVERED
35,18,2017-12-16,PREPARED
36,19,2017-12-18,PREPARED
37,20,2017-12-20,PREPARED
